,index,link,keyword
0,0,https://www.proquest.com/usnews/docview/926342376/abstract/67F321E43F4B42F6PQ/1?accountid=13360,alternative_energy_standard
1,1,https://www.proquest.com/usnews/docview/434200788/abstract/67F321E43F4B42F6PQ/2?accountid=13360,alternative_energy_standard
2,2,https://www.proquest.com/usnews/docview/1753953731/abstract/67F321E43F4B42F6PQ/3?accountid=13360,alternative_energy_standard
3,3,https://www.proquest.com/usnews/docview/1037930188/abstract/67F321E43F4B42F6PQ/4?accountid=13360,alternative_energy_standard
4,4,https://www.proquest.com/usnews/docview/872525895/abstract/67F321E43F4B42F6PQ/5?accountid=13360,alternative_energy_standard
5,5,https://www.proquest.com/usnews/docview/1436439933/abstract/67F321E43F4B42F6PQ/6?accountid=13360,alternative_energy_standard
6,6,https://www.proquest.com/usnews/docview/1698477465/abstract/67F321E43F4B42F6PQ/7?accountid=13360,alternative_energy_standard
7,7,https://www.proquest.com/usnews/docview/753594976/abstract/67F321E43F4B42F6PQ/9?accountid=13360,alternative_energy_standard
8,8,https://www.proquest.com/usnews/docview/1674514393/abstract/67F321E43F4B42F6PQ/10?accountid=13360,alternative_energy_standard
9,9,https://www.proquest.com/usnews/docview/375793970/abstract/67F321E43F4B42F6PQ/11?accountid=13360,alternative_energy_standard
10,10,https://www.proquest.com/usnews/docview/1674514387/abstract/67F321E43F4B42F6PQ/12?accountid=13360,alternative_energy_standard
11,11,https://www.proquest.com/usnews/docview/1903914278/citation/67F321E43F4B42F6PQ/8?accountid=13360,alternative_energy_standard
12,0,https://www.proquest.com/usnews/docview/332427797/abstract/C0A4392283CB4D1APQ/1?accountid=13360,cap_and_trade
13,1,https://www.proquest.com/usnews/docview/324395706/abstract/C0A4392283CB4D1APQ/2?accountid=13360,cap_and_trade
14,2,https://www.proquest.com/usnews/docview/332129570/abstract/C0A4392283CB4D1APQ/6?accountid=13360,cap_and_trade
15,3,https://www.proquest.com/usnews/docview/324377804/abstract/C0A4392283CB4D1APQ/7?accountid=13360,cap_and_trade
16,4,https://www.proquest.com/usnews/docview/382540955/abstract/C0A4392283CB4D1APQ/8?accountid=13360,cap_and_trade
